tec_name,label,sentence
AS-REP Roasting,2,"For each account found without preauthentication, an adversary may send an AS-REQ message without the encrypted timestamp and receive an AS-REP message with TGT data which may be encrypted with an insecure algorithm such as RC4."
AS-REP Roasting,2,The recovered encrypted data may be vulnerable to offline Password Cracking attacks similarly to Kerberoasting and expose plaintext credentials.
AS-REP Roasting,2,"An account registered to a domain, with or without special privileges, can be abused to list all domain accounts that have preauthentication disabled by utilizing Windows tools like PowerShell with an LDAP filter."
AS-REP Roasting,2,"Alternatively, the adversary may send an AS-REQ message for each user."
AS-REP Roasting,2,"If the DC responds without errors, the account does not require preauthentication and the AS-REP message will already contain the encrypted data."
AS-REP Roasting,2,"Cracked hashes may enable Persistence, Privilege Escalation, and Lateral Movement via access to Valid Accounts."
Abuse Elevation Control Mechanism,3,Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions.
Abuse Elevation Control Mechanism,3,Most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can perform on a machine.
Abuse Elevation Control Mechanism,3,Authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk.
Abuse Elevation Control Mechanism,3,An adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system.
Access Token Manipulation,4,Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls.
Access Token Manipulation,4,Windows uses access tokens to determine the ownership of a running process.
Access Token Manipulation,4,A user can manipulate access tokens to make a running process appear as though it is the child of a different process or belongs to someone other than the user that started the process.
Access Token Manipulation,4,"When this occurs, the process also takes on the security context associated with the new token."
Access Token Manipulation,4,An adversary can use built-in Windows API functions to copy access tokens from existing processes; this is known as token stealing.
Access Token Manipulation,4,These token can then be applied to an existing process  Token Impersonation/Theft or used to spawn a new process  Create Process with Token.
Access Token Manipulation,4,An adversary must already be in a privileged user context  administrator to steal a token.
Access Token Manipulation,4,"However, adversaries commonly use token stealing to elevate their security context from the administrator level to the SYSTEM level."
Access Token Manipulation,4,An adversary can then use a token to authenticate to a remote system as the account for that token if the account has appropriate permissions on the remote system.
Access Token Manipulation,4,"Any standard user can use the runas command, and the Windows API functions, to create impersonation tokens; it does not require access to an administrator account."
Access Token Manipulation,4,"There are also other mechanisms, such as Active Directory fields, that can be used to modify access tokens."
Access Token Manipulation,4,Duqu examines running system processes for tokens that have specific system privileges.
Access Token Manipulation,4,"If it finds one, it will copy the token and store it for later use."
Access Token Manipulation,4,Eventually it will start new processes with the stored token attached.
Access Token Manipulation,4,It can also steal tokens to acquire administrative privileges.
Access Token Manipulation,4,Hydraq creates a backdoor through which remote attackers can adjust token privileges.
Access Token Manipulation,4,SslMM contains a feature to manipulate process privileges and tokens.
Access Token Manipulation,4,Ryuk has attempted to adjust its token privileges to have the SeDebugPrivilege.
Access Token Manipulation,4,SUNSPOT modified its security token to grants itself debugging privileges by adding SeDebugPrivilege.
Access Token Manipulation,4,MegaCortex can enable SeDebugPrivilege and adjust token privileges.
Access Token Manipulation,4,AppleSeed can gain system level privilege by passing SeDebugPrivilege to the AdjustTokenPrivilege API.
Access Token Manipulation,4,Cuba has used SeDebugPrivilege and AdjustTokenPrivileges to elevate privileges.
Access Token Manipulation,4,KillDisk has attempted to get the access token of a process by calling OpenProcessToken.
Access Token Manipulation,4,"If KillDisk gets the access token, then it attempt to modify the token privileges with AdjustTokenPrivileges."
Access Token Manipulation,4,Blue Mockingbird has used JuicyPotato to abuse the SeImpersonate token privilege to escalate from web application pool accounts to NT Authority\SYSTEM.
Access Token Manipulation,4,FIN6 has used has used Metasploit’s named-pipe impersonation technique to escalate privileges.
Accessibility Features,5,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features.
Accessibility Features,5,Windows contains accessibility features that may be launched with a key combination before a user has logged in .
Accessibility Features,5,An adversary can modify the way these programs are launched to get a command prompt or backdoor without logging in to the system.
Accessibility Features,5,"Two common accessibility programs are C:\Windows\System32\sethc.exe, launched when the shift key is pressed five times and C:\Windows\System32\utilman.exe, launched when the Windows + U key combination is pressed."
Accessibility Features,5,"The sethc.exe program is often referred to as ""sticky keys"", and has been used by adversaries for unauthenticated access through a remote desktop login screen."
Accessibility Features,5,"Depending on the version of Windows, an adversary may take advantage of these features in different ways."
Accessibility Features,5,Common methods used by adversaries include replacing accessibility feature binaries or pointers/references to these binaries in the Registry.
Accessibility Features,5,"In newer versions of Windows, the replaced binary needs to be digitally signed for x64 systems, the binary must reside in %systemdir%\, and it must be protected by Windows File or Resource Protection ."
Accessibility Features,5,The Image File Execution Options Injection debugger method was likely discovered as a potential workaround because it does not require the corresponding accessibility feature binary to be replaced.
Accessibility Features,5,"For simple binary replacement on Windows XP and later as well as and Windows Server 2003/R2 and later, for example, the program  may be replaced with ""cmd.exe"" ."
Accessibility Features,5,"Subsequently, pressing the appropriate key combination at the login screen while sitting at the keyboard or when connected over Remote Desktop Protocol will cause the replaced file to be executed with SYSTEM privileges."
Accessibility Features,5,"Other accessibility features exist that may also be leveraged in a similar fashion: 
* On-Screen Keyboard: C:\Windows\System32\osk.exe
* Magnifier: C:\Windows\System32\Magnify.exe
* Narrator: C:\Windows\System32\Narrator.exe
* Display Switcher: C:\Windows\System32\DisplaySwitch.exe
* App Switcher: C:\Windows\System32\AtBroker.exe Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by accessibility features."
Accessibility Features,5,"Other accessibility features exist that may also be leveraged in a similar fashion: 
* On-Screen Keyboard: C:\Windows\System32\osk.exe
* Magnifier: C:\Windows\System32\Magnify.exe
* Narrator: C:\Windows\System32\Narrator.exe
* Display Switcher: C:\Windows\System32\DisplaySwitch.exe
* App Switcher: C:\Windows\System32\AtBroker.exe APT3 replaces the Sticky Keys binary C:\Windows\System32\sethc.exe for persistence."
Accessibility Features,5,"APT29 used sticky-keys to obtain unauthenticated, privileged console access."
Accessibility Features,5,Deep Panda has used the sticky-keys technique to bypass the RDP login screen on remote systems during intrusions.
Accessibility Features,5,Axiom actors have been known to use the Sticky Keys replacement within RDP sessions to obtain persistence.
Accessibility Features,5,APT41 leveraged sticky keys to establish persistence.
Accessibility Features,5,Fox Kitten has used sticky keys to launch a command prompt.
Account Access Removal,6,Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users.
Account Access Removal,6,"Accounts may be deleted, locked, or manipulated  to remove access to accounts."
Account Access Removal,6,Adversaries may also subsequently log off and/or reboot boxes to set malicious changes into place.
Account Access Removal,6,LockerGoga has been observed changing account passwords and logging off current users.
Account Access Removal,6,MegaCortex has changed user account passwords and logged users off the system.
Account Discovery,7,Adversaries may attempt to get a listing of accounts on a system or within an environment.
Account Discovery,7,This information can help adversaries determine which accounts exist to aid in follow-on behavior.
Account Discovery,7,"XCSSET attempts to discover accounts from various locations such as a user's Evernote, AppleID, Telegram, Skype, and WeChat data."
Account Discovery,7,UNC2452 obtained a list of users and their roles from an Exchange server using Get-ManagementRoleAssignment.
Account Discovery,7,APT29 obtained a list of users and their roles from an Exchange server using Get-ManagementRoleAssignment.
Account Discovery,7,"APT32 enumerated administrative users and DC servers using the commands net localgroup administrators and net group ""Domain Controllers"" /domain."
Account Manipulation,8,Adversaries may manipulate accounts to maintain access to victim systems.
Account Manipulation,8,"Account manipulation may consist of any action that preserves adversary access to a compromised account, such as modifying credentials or permission groups."
Account Manipulation,8,"These actions could also include account activity designed to subvert security policies, such as performing iterative password updates to bypass password duration policies and preserve the life of compromised credentials."
Account Manipulation,8,"In order to create or manipulate accounts, the adversary must already have sufficient permissions on systems or the domain."
Account Manipulation,8,Calisto adds permissions and remote logins to all users.
Account Manipulation,8,SMOKEDHAM has added created user accounts to local Admin groups.
Account Manipulation,8,Lazarus Group malware WhiskeyDelta-Two contains a function that attempts to rename the administrator’s account.
Account Manipulation,8,APT3 has been known to add created accounts to local admin groups to maintain elevated access.
Account Manipulation,8,Dragonfly 2.0 added newly created accounts to the administrators group to maintain elevated access.
Account Manipulation,8,Sandworm Team used the sp_addlinkedsrvlogin command in MS-SQL to create a link between a created account and other servers in the network.
Account Manipulation,8,Magic Hound granted compromised email accounts read access to the email boxes of additional targeted accounts.
Account Manipulation,8,The group then was able to authenticate to the intended victim's OWA  portal and read hundreds of email communications for information on Middle East organizations.
Acquire Infrastructure,9,"Adversaries may buy, lease, or rent infrastructure that can be used during targeting."
Acquire Infrastructure,9,A wide variety of infrastructure exists for hosting and orchestrating adversary operations.
Acquire Infrastructure,9,"Infrastructure solutions include physical or cloud servers, domains, and third-party web services."
Acquire Infrastructure,9,"Additionally, botnets are available for rent or purchase."
Acquire Infrastructure,9,"Use of these infrastructure solutions allows an adversary to stage, launch, and execute an operation."
Acquire Infrastructure,9,"Solutions may help adversary operations blend in with traffic that is seen as normal, such as contact to third-party web services."
Acquire Infrastructure,9,"Depending on the implementation, adversaries may use infrastructure that makes it difficult to physically tie back to them as well as utilize infrastructure that can be rapidly provisioned, modified, and shut down."
Active Scanning,10,Adversaries may execute active reconnaissance scans to gather information that can be used during targeting.
Active Scanning,10,"Active scans are those where the adversary probes victim infrastructure via network traffic, as opposed to other forms of reconnaissance that do not involve direct interaction."
Active Scanning,10,Adversaries may perform different forms of active scanning depending on what information they seek to gather.
Active Scanning,10,"These scans can also be performed in various ways, including using native features of network protocols such as ICMP."
Active Scanning,10,"Information from these scans may reveal opportunities for other forms of reconnaissance  or Search Open Technical Databases, establishing operational resources  or Obtain Capabilities, and/or initial access  or Exploit Public-Facing Application."
Active Setup,11,Adversaries may achieve persistence by adding a Registry key to the Active Setup of the local machine.
Active Setup,11,Active Setup is a Windows mechanism that is used to execute programs when a user logs in.
Active Setup,11,The value stored in the Registry key will be executed after a user logs into the computer.
Active Setup,11,These programs will be executed under the context of the user and will have the account's associated permissions level.
Active Setup,11,Adversaries may abuse Active Setup by creating a key under  HKLM\SOFTWARE\Microsoft\Active Setup\Installed Components\ and setting a malicious value for StubPath.
Active Setup,11,This value will serve as the program that will be executed when a user logs into the computer.
Active Setup,11,"Adversaries can abuse these components to execute malware, such as remote access tools, to maintain persistence through system reboots."
Active Setup,11,Adversaries may also use Masquerading to make the Registry entries look as if they are associated with legitimate programs.
Active Setup,11,PoisonIvy creates a Registry key in the Active Setup pointing to a malicious executable.
Add Office 365 Global Administrator Role,12,An adversary may add the Global Administrator role to an adversary-controlled account to maintain persistent access to an Office 365 tenant.
Add Office 365 Global Administrator Role,12,"With sufficient permissions, a compromised account can gain almost unlimited access to data and settings  via the global admin role."
Add Office 365 Global Administrator Role,12,This account modification may immediately follow Create Account or other malicious account activity.
Add-ins,13,Adversaries may abuse Microsoft Office add-ins to obtain persistence on a compromised system.
Add-ins,13,Office add-ins can be used to add functionality to Office programs.
Add-ins,13,"There are different types of add-ins that can be used by the various Office products; including Word/Excel add-in Libraries , VBA add-ins, Office Component Object Model  add-ins, automation add-ins, VBA Editor , Visual Studio Tools for Office  add-ins, and Outlook add-ins."
Add-ins,13,Add-ins can be used to obtain persistence because they can be set to execute code when an Office application starts.
Add-ins,13,"Naikon has used the RoyalRoad exploit builder to drop a second stage loader, intel.wll, into the Word Startup folder on the compromised host."
Additional Cloud Credentials,14,Adversaries may add adversary-controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment.
Additional Cloud Credentials,14,Adversaries may add credentials for Service Principals and Applications in addition to existing legitimate credentials in Azure AD.
Additional Cloud Credentials,14,These credentials include both x509 keys and passwords.
Additional Cloud Credentials,14,"With sufficient permissions, there are a variety of ways to add credentials including the Azure Portal, Azure command line interface, and Azure or Az PowerShell modules."
Additional Cloud Credentials,14,"In infrastructure-as-a-service  environments, after gaining access through Cloud Accounts, adversaries may generate or import their own SSH keys using either the CreateKeyPair or ImportKeyPair API in AWS or the gcloud compute os-login ssh-keys add command in GCP."
Additional Cloud Credentials,14,This allows persistent access to instances within the cloud environment without further usage of the compromised cloud accounts.
Additional Cloud Credentials,14,UNC2452 added credentials to OAuth Applications and Service Principals.
Additional Cloud Credentials,14,APT29 has added credentials to OAuth Applications and Service Principals.
Adversary-in-the-Middle,15,Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle  technique to support follow-on behaviors such as Network Sniffing or Transmitted Data Manipulation.
Adversary-in-the-Middle,15,"By abusing features of common networking protocols that can determine the flow of network traffic , adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions."
Adversary-in-the-Middle,15,"Adversaries may leverage the AiTM position to attempt to modify traffic, such as in Transmitted Data Manipulation."
Adversary-in-the-Middle,15,"Adversaries can also stop traffic from flowing to the appropriate destination, causing denial of service."
Adversary-in-the-Middle,15,Dok proxies web traffic to potentially monitor and alter victim HTTP traffic.
Adversary-in-the-Middle,15,Kimsuky has used modified versions of PHProxy to examine web traffic between the victim and the accessed website.
AppCert DLLs,16,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppCert DLLs loaded into processes.
AppCert DLLs,16,"Dynamic-link libraries  that are specified in the AppCertDLLs Registry key under HKEY_LOCAL_MACHINE\System\CurrentControlSet\Control\Session Manager\ are loaded into every process that calls the ubiquitously used application programming interface  functions CreateProcess, CreateProcessAsUser, CreateProcessWithLoginW, CreateProcessWithTokenW, or WinExec."
AppCert DLLs,16,"Similar to Process Injection, this value can be abused to obtain elevated privileges by causing a malicious DLL to be loaded and run in the context of separate processes on the computer."
AppCert DLLs,16,Malicious AppCert DLLs may also provide persistence by continuously being triggered by API activity.
AppCert DLLs,16,PUNCHBUGGY can establish using a AppCertDLLs Registry key.
AppCert DLLs,16,Honeybee's service-based DLL implant can execute a downloaded file with parameters specified using CreateProcessAsUser.
AppInit DLLs,17,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by AppInit DLLs loaded into processes.
AppInit DLLs,17,Dynamic-link libraries  that are specified in the AppInit_DLLs value in the Registry keys HKEY_LOCAL_MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Windows or HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Windows NT\CurrentVersion\Windows are loaded by user32.dll into every process that loads user32.dll.
AppInit DLLs,17,"In practice this is nearly every program, since user32.dll is a very common library."
AppInit DLLs,17,"Similar to Process Injection, these values can be abused to obtain elevated privileges by causing a malicious DLL to be loaded and run in the context of separate processes on the computer."
AppInit DLLs,17,Malicious AppInit DLLs may also provide persistence by continuously being triggered by API activity.
AppInit DLLs,17,The AppInit DLL functionality is disabled in Windows 8 and later versions when secure boot is enabled.
AppInit DLLs,17,"If a victim meets certain criteria, T9000 uses the AppInit_DLL functionality to achieve persistence by ensuring that every user mode process that is spawned will load its malicious DLL, ResN32.dll."
AppInit DLLs,17,It does this by creating the following Registry keys: HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows\AppInit_DLLs – %APPDATA%\Intel\ResN32.dll and HKLM\Software\Microsoft\Windows NT\CurrentVersion\Windows\LoadAppInit_DLLs – 0x1.
AppInit DLLs,17,"Some variants of Cherry Picker use AppInit_DLLs to achieve persistence by creating the following Registry key: HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows ""AppInit_DLLs""=""pserver32.dll"" Ramsay can insert itself into the address space of other applications using the AppInit DLL Registry key."
AppInit DLLs,17,APT39 has used malware to set LoadAppInit_DLLs in the Registry key SOFTWARE\Microsoft\Windows NT\CurrentVersion\Windows in order to establish persistence.
AppleScript,18,Adversaries may abuse AppleScript for execution.
AppleScript,18,AppleScript is a macOS scripting language designed to control applications and parts of the OS via inter-application messages called AppleEvents.
AppleScript,18,These AppleEvent messages can be sent independently or easily scripted with AppleScript.
AppleScript,18,"These events can locate open windows, send keystrokes, and interact with almost any open application locally or remotely."
AppleScript,18,"Scripts can be run from the command-line via osascript /path/to/script or osascript -e ""script here""."
AppleScript,18,"Aside from the command line, scripts can be executed in numerous ways including Mail rules, Calendar.app alarms, and Automator workflows."
AppleScript,18,AppleScripts can also be executed as plain text shell scripts by adding #!/usr/bin/osascript to the start of the script file.
AppleScript,18,"AppleScripts do not need to call osascript to execute, however."
AppleScript,18,"They may be executed from within mach-O binaries by using the macOS Native APIs NSAppleScript or OSAScript, both of which execute code independent of the /usr/bin/osascript command line utility."
AppleScript,18,"Adversaries may abuse AppleScript to execute various behaviors, such as interacting with an open SSH connection, moving to remote machines, and even presenting users with fake dialog boxes."
AppleScript,18,"These events cannot start applications remotely , but they can interact with applications if they're already running remotely."
AppleScript,18,"On macOS 10.10 Yosemite and higher, AppleScript has the ability to execute Native APIs, which otherwise would require compilation and execution in a mach-O binary file format.."
AppleScript,18,"Since this is a scripting language, it can be used to launch more common techniques as well such as a reverse shell via Python."
AppleScript,18,Dok uses AppleScript to create a login item for persistence.
AppleScript,18,Bundlore can use AppleScript to inject malicious JavaScript into a browser.
AppleScript,18,ThiefQuest uses AppleScript's osascript -e command to launch ThiefQuest's persistence via Launch Agent and Launch Daemon.
Application Access Token,19,"Adversaries may use stolen application access tokens to bypass the typical authentication process and access restricted accounts, information, or services on remote systems."
Application Access Token,19,These tokens are typically stolen from users and used in lieu of login credentials.
Application Access Token,19,Application access tokens are used to make authorized API requests on behalf of a user and are commonly used as a way to access resources in cloud-based applications and software-as-a-service .
Application Access Token,19,OAuth is one commonly implemented framework that issues tokens to users for access to systems.
Application Access Token,19,These frameworks are used collaboratively to verify the user and determine what actions the user is allowed to perform.
Application Access Token,19,"Once identity is established, the token allows actions to be authorized, without passing the actual credentials of the user."
Application Access Token,19,"Therefore, compromise of the token can grant the adversary access to resources of other sites through a malicious application."
Application Access Token,19,"For example, with a cloud-based email service once an OAuth access token is granted to a malicious application, it can potentially gain long-term access to features of the user account if a ""refresh"" token enabling background access is awarded."
Application Access Token,19,With an OAuth access token an adversary can use the user-granted REST API to perform functions such as email searching and contact enumeration.
Application Access Token,19,Compromised access tokens may be used as an initial step in compromising other services.
Application Access Token,19,"For example, if a token grants access to a victim’s primary email, the adversary may be able to extend access to all other services which the target subscribes by triggering forgotten password routines."
Application Access Token,19,Direct API access through a token negates the effectiveness of a second authentication factor and may be immune to intuitive countermeasures like changing passwords.
Application Access Token,19,"Access abuse over an API channel can be difficult to detect even from the service provider end, as the access can still align well with a legitimate workflow."
Application Access Token,19,"APT28 has used several malicious applications that abused OAuth access tokens to gain access to target email accounts, including Gmail and Yahoo Mail."
Application Exhaustion Flood,20,Adversaries may target resource intensive features of web applications to cause a denial of service .
Application Exhaustion Flood,20,Specific features in web applications may be highly resource intensive.
Application Exhaustion Flood,20,Repeated requests to those features may be able to exhaust system resources and deny access to the application or the server itself.
Application Layer Protocol,21,Adversaries may communicate using application layer protocols to avoid detection/network filtering by blending in with existing traffic.
Application Layer Protocol,21,"Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client and server."
Application Layer Protocol,21,"Adversaries may utilize many different protocols, including those used for web browsing, transferring files, electronic mail, or DNS."
Application Layer Protocol,21,"For connections that occur internally within an enclave , commonly used protocols are SMB, SSH, or RDP."
Application Layer Protocol,21,"Duqu uses a custom command and control protocol that communicates over commonly used ports, and is frequently encapsulated by application layer protocols."
Application Layer Protocol,21,Adversaries can also use NETEAGLE to establish an RDP connection with a controller over TCP/7519.
Application Layer Protocol,21,"The Regin malware platform supports many standard protocols, including SMB."
Application Layer Protocol,21,Cobalt Strike can conduct peer-to-peer communication over Windows named pipes encapsulated in the SMB protocol.
Application Layer Protocol,21,All protocols use their standard assigned ports.
Application Layer Protocol,21,Lucifer can use the Stratum protocol on port 10001 for communication between the cryptojacking bot and the mining server.
Application Layer Protocol,21,Hildegard has used an IRC channel for C2 communications.
Application Layer Protocol,21,Siloscape connects to an IRC server for C2.
Application Layer Protocol,21,Cobalt Strike conducts peer-to-peer communication over Windows named pipes encapsulated in the SMB protocol.
Application Layer Protocol,21,Exaramel uses HTTPS for C2 communications.
Application Layer Protocol,21,Dragonfly 2.0 used SMB for C2.
Application Layer Protocol,21,Magic Hound malware has used IRC for C2.
Application Layer Protocol,21,Rocke issued wget requests from infected systems to the C2.
Application Layer Protocol,21,TeamTNT has used an IRC bot for C2 communications.
Application Layer Protocol,21,APT34 malware often uses HTTP and DNS for C2.
Application Layer Protocol,21,The group has also used the Plink utility and other tools to create tunnels to C2 servers.
Application Shimming,22,Adversaries may establish persistence and/or elevate privileges by executing malicious content triggered by application shims.
Application Shimming,22,The Microsoft Windows Application Compatibility Infrastructure/Framework  was created to allow for backward compatibility of software as the operating system codebase changes over time.
Application Shimming,22,"For example, the application shimming feature allows developers to apply fixes to applications  that were created for Windows XP so that it will work with Windows 10."
Application Shimming,22,"Within the framework, shims are created to act as a buffer between the program  and the Windows OS."
Application Shimming,22,"When a program is executed, the shim cache is referenced to determine if the program requires the use of the shim database ."
Application Shimming,22,"If so, the shim database uses hooking to redirect the code as necessary in order to communicate with the OS."
Application Shimming,22,"A list of all shims currently installed by the default Windows installer  is kept in:
* %WINDIR%\AppPatch\sysmain.sdb and
* hklm\software\microsoft\windows nt\currentversion\appcompatflags\installedsdb
Custom databases are stored in:
* %WINDIR%\AppPatch\custom & %WINDIR%\AppPatch\AppPatch64\Custom and
* hklm\software\microsoft\windows nt\currentversion\appcompatflags\custom
To keep shims secure, Windows designed them to run in user mode so they cannot modify the kernel and you must have administrator privileges to install a shim."
Application Shimming,22,"However, certain shims can be used to Bypass User Account Control , inject DLLs into processes , disable Data Execution Prevention  and Structure Exception Handling , and intercept memory addresses ."
Application Shimming,22,"Utilizing these shims may allow an adversary to perform several malicious acts such as elevate privileges, install backdoors, disable defenses like Windows Defender, etc."
Application Shimming,22,Shims can also be abused to establish persistence by continuously being invoked by affected programs.
Application Shimming,22,ShimRat has installed shim databases in the AppPatch folder.
Application Shimming,22,"SDBbot has the ability to use application shimming for persistence if it detects it is running as admin on Windows XP or 7, by creating a shim database to patch services.exe."
Application Shimming,22,Pillowmint has used a malicious shim database to maintain persistence.
Application Shimming,22,FIN7 has used application shim databases for persistence.
Application Window Discovery,23,Adversaries may attempt to get a listing of open application windows.
Application Window Discovery,23,Window listings could convey information about how the system is used or give context to information collected by a keylogger.
Application Window Discovery,23,Kazuar gathers information about opened windows.
Application Window Discovery,23,WINERACK can enumerate active windows.
Application Window Discovery,23,The discovery modules used with Duqu can collect information on open windows.
Application Window Discovery,23,Catchamas obtains application windows titles and then determines which windows to perform Screen Capture on.
Application Window Discovery,23,NetTraveler reports window names along with keylogger information to provide application context.
Application Window Discovery,23,SOUNDBITE is capable of enumerating application windows.
Application Window Discovery,23,PowerDuke has a command to get text of the current foreground window.
Application Window Discovery,23,PoisonIvy captures window titles.
Application Window Discovery,23,Remexi has a command to capture active windows on the machine and retrieve window titles.
Application Window Discovery,23,njRAT gathers information about opened windows during the initial infection.
Application Window Discovery,23,Machete saves the window names.
Application Window Discovery,23,HotCroissant has the ability to list the names of all open windows on the infected host.
Application Window Discovery,23,PLEAD has the ability to list open windows on the compromised host.
Application Window Discovery,23,Attor can obtain application window titles and then determines which windows to perform Screen Capture on.
Application Window Discovery,23,Cadelspy has the ability to identify open windows on the compromised host.
Application Window Discovery,23,Aria-body has the ability to identify the titles of running windows on a compromised host.
Application Window Discovery,23,InvisiMole can enumerate windows and child windows on a compromised host.
Application Window Discovery,23,Metamorfo can enumerate all windows on the victim’s machine.
Application Window Discovery,23,Trojan.Karagany can monitor the titles of open windows to identify specific keywords.
Application Window Discovery,23,Grandoreiro can identify installed security tools based on window names.
Application Window Discovery,23,NETWIRE can discover and close windows on controlled systems.
Application Window Discovery,23,QakBot has the ability to enumerate windows on a compromised host.
Application Window Discovery,23,captures window titles.
Application Window Discovery,23,Lazarus Group malware IndiaIndia obtains and sends to its C2 server the title of the window for each running process.
Application Window Discovery,23,The KilaAlfa keylogger also reports the title of the window in the foreground.
Application or System Exploitation,24,Adversaries may exploit software vulnerabilities that can cause an application or system to crash and deny availability to users.
Application or System Exploitation,24,"Some systems may automatically restart critical applications and services when crashes occur, but they can likely be re-exploited to cause a persistent DoS condition."
Application or System Exploitation,24,Industroyer uses a custom DoS tool that leverages CVE-2015-5374 and targets hardcoded IP addresses of Siemens SIPROTEC devices.
Archive Collected Data,25,An adversary may compress and/or encrypt data that is collected prior to exfiltration.
Archive Collected Data,25,Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network.
Archive Collected Data,25,Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.
Archive Collected Data,25,"Both compression and encryption are done prior to exfiltration, and can be performed using a utility, 3rd party library, or custom method."
Archive Collected Data,25,RunningRAT contains code to compress files.
Archive Collected Data,25,Daserf hides collected data in password-protected .rar archives.
Archive Collected Data,25,"After collecting documents from removable media, Prikormka compresses the collected files, and encrypts it with Blowfish."
Archive Collected Data,25,VERMIN encrypts the collected files using 3-DES.
Archive Collected Data,25,Zebrocy  has used a method similar to RC4 as well as AES for encryption and hexadecimal for encoding data before exfiltration.
Archive Collected Data,25,Proton zips up files before exfiltrating them.
Archive Collected Data,25,ADVSTORESHELL encrypts with the 3DES algorithm and a hardcoded key prior to exfiltration.
Archive Collected Data,25,Lurid can compress data before sending it.
